source,brand,name,former_price,current_price,discount,product_link,page
,Gucci,GG1949OK,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg1949ok-eyeglasses?color=10061662,8
,Gucci,GG1947O,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg1947o-eyeglasses?color=10061661,8
,Gucci,GG1945O,515.0,437.75,15%,https://www.framesdirect.com/gucci-gg1945o-eyeglasses?color=10061659,8
,Gucci,GG1938O,545.0,463.25,15%,https://www.framesdirect.com/gucci-gg1938o-eyeglasses?color=10061657,8
,Gucci,GG1746OA,590.0,501.5,15%,https://www.framesdirect.com/gucci-gg1746oa-eyeglasses?color=10061652,9
,Gucci,GG1745OA,560.0,476.0,15%,https://www.framesdirect.com/gucci-gg1745oa-eyeglasses?color=10061653,9
,Gucci,GG1500OK,530.0,450.5,15%,https://www.framesdirect.com/gucci-gg1500ok-eyeglasses?color=10061655,9
,Costa,Ocean Ridge 730,,197.0,,https://www.framesdirect.com/costa-ocean-ridge-730-eyeglasses?color=10061644,9
,Burberry,BE2461D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2461d-eyeglasses?color=10060703,9
,Burberry,BE2460D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2460d-eyeglasses?color=10060703,9
,Burberry,BE2459D,390.0,273.0,30%,https://www.framesdirect.com/burberry-be2459d-eyeglasses?color=10061020,9
,Burberry,BE2458,358.0,250.6,30%,https://www.framesdirect.com/burberry-be2458-eyeglasses?color=10056160,9
,Burberry,BE2457U,421.0,294.7,30%,https://www.framesdirect.com/burberry-be2457u-eyeglasses?color=10056160,9
,Burberry,BE2452U,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2452u-eyeglasses?color=10060703,9
,Burberry,BE2451U,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2451u-eyeglasses?color=10060703,9
,Burberry,BE2450D,327.0,228.9,30%,https://www.framesdirect.com/burberry-be2450d-eyeglasses?color=10056167,9
,Burberry,BE2449D,390.0,273.0,30%,https://www.framesdirect.com/burberry-be2449d-eyeglasses?color=10056169,9
,Burberry,BE2448D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2448d-eyeglasses?color=10056144,9
,Burberry,BE2447D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2447d-eyeglasses?color=10056152,9
,Burberry,BE2445F,390.0,273.0,30%,https://www.framesdirect.com/burberry-be2445f-eyeglasses?color=10056170,9
,Burberry,BE2443F,358.0,250.6,30%,https://www.framesdirect.com/burberry-be2443f-eyeglasses?color=10056160,9
,Burberry,BE2440F,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2440f-eyeglasses?color=10056143,9
,Burberry,BE2439F,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2439f-eyeglasses?color=10063127,9
,Burberry,BE2438F,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2438f-eyeglasses?color=10056144,9
,Burberry,BE2436D,327.0,228.9,30%,https://www.framesdirect.com/burberry-be2436d-eyeglasses?color=10056153,9
,Burberry,BE1403D,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1403d-eyeglasses?color=10060882,9
,Burberry,BE1402D,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1402d-eyeglasses?color=10060878,9
,Burberry,BE1401,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1401-eyeglasses?color=10060875,9
,Burberry,BE1399,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1399-eyeglasses?color=10056132,10
,Burberry,BE1398,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1398-eyeglasses?color=10056132,10
,Oakley,Currency,,276.0,,https://www.framesdirect.com/oakley-currency-eyeglasses?color=500277,10
,Oakley,Tumbleweed,,255.0,,https://www.framesdirect.com/oakley-tumbleweed-eyeglasses?color=500140,10
,Versace,VE1184,270.0,189.0,30%,https://www.framesdirect.com/versace-ve1184-eyeglasses?color=497389,10
,Versace,VE1066,270.0,189.0,30%,https://www.framesdirect.com/versace-ve1066-eyeglasses?color=497351,10
,Ray-Ban,RB5245,,210.0,,https://www.framesdirect.com/ray-ban-rx5245-eyeglasses?color=497723,10
,Oakley,Rhinochaser,,276.0,,https://www.framesdirect.com/oakley-rhinochaser-eyeglasses?color=496157,10
,Oakley,Clubface,,276.0,,https://www.framesdirect.com/oakley-clubface-eyeglasses?color=473191,10
,Ray-Ban,RB5228,,222.0,,https://www.framesdirect.com/ray-ban-rb5228-eyeglasses?color=471952,10
,Ray-Ban,RB5206,,210.0,,https://www.framesdirect.com/ray-ban-rb5206-eyeglasses?color=10002080,10
,Versace,VE1175B,316.0,221.2,30%,https://www.framesdirect.com/versace-ve1175b-eyeglasses?color=471502,10
,Ray-Ban,RB5169,,186.0,,https://www.framesdirect.com/ray-ban-rb5169-eyeglasses?color=422162,10
,Oakley,Metal Plate,346.0,173.0,50%,https://www.framesdirect.com/oakley-metal-plate-eyeglasses?color=10059667,10
,Oakley,Bottle Rocket 4.0,,276.0,,https://www.framesdirect.com/oakley-bottle-rocket-4.0-eyeglasses?color=333571,10
,Ray-Ban,RB7017,,222.0,,https://www.framesdirect.com/ray-ban-rb7017-eyeglasses?color=1,10
,Ray-Ban,RB5286,,222.0,,https://www.framesdirect.com/ray-ban-rb5286-eyeglasses?color=4,10
,Oakley,Persuasive,183.0,91.5,50%,https://www.framesdirect.com/oakley-persuasive-eyeglasses?color=1,10
